Sample_name,Locus,file1,file2
58.2,16S_Prey,Locus_16S_Prey_58-2_S1_L001_R1_001.fastq,Locus_16S_Prey_58-2_S1_L001_R2_001.fastq
60.2,16S_Prey,Locus_16S_Prey_60-2_S2_L001_R1_001.fastq,Locus_16S_Prey_60-2_S2_L001_R2_001.fastq
61.2,16S_Prey,Locus_16S_Prey_61-2_S3_L001_R1_001.fastq,Locus_16S_Prey_61-2_S3_L001_R2_001.fastq
63.2,16S_Prey,Locus_16S_Prey_63-2_S4_L001_R1_001.fastq,Locus_16S_Prey_63-2_S4_L001_R2_001.fastq
70.2,16S_Prey,Locus_16S_Prey_70-2_S5_L001_R1_001.fastq,Locus_16S_Prey_70-2_S5_L001_R2_001.fastq
282.2,16S_Prey,Locus_16S_Prey_282-2_S6_L001_R1_001.fastq,Locus_16S_Prey_282-2_S6_L001_R2_001.fastq
283.2,16S_Prey,Locus_16S_Prey_283-2_S7_L001_R1_001.fastq,Locus_16S_Prey_283-2_S7_L001_R2_001.fastq
284.2,16S_Prey,Locus_16S_Prey_284-2_S8_L001_R1_001.fastq,Locus_16S_Prey_284-2_S8_L001_R2_001.fastq
285.2,16S_Prey,Locus_16S_Prey_285-2_S9_L001_R1_001.fastq,Locus_16S_Prey_285-2_S9_L001_R2_001.fastq
287.2,16S_Prey,Locus_16S_Prey_287-2_S10_L001_R1_001.fastq,Locus_16S_Prey_287-2_S10_L001_R2_001.fastq
318.2,16S_Prey,Locus_16S_Prey_318-2_S11_L001_R1_001.fastq,Locus_16S_Prey_318-2_S11_L001_R2_001.fastq
319.2,16S_Prey,Locus_16S_Prey_319-2_S12_L001_R1_001.fastq,Locus_16S_Prey_319-2_S12_L001_R2_001.fastq
320.2,16S_Prey,Locus_16S_Prey_320-2_S13_L001_R1_001.fastq,Locus_16S_Prey_320-2_S13_L001_R2_001.fastq
321.2,16S_Prey,Locus_16S_Prey_321-2_S14_L001_R1_001.fastq,Locus_16S_Prey_321-2_S14_L001_R2_001.fastq
343.2,16S_Prey,Locus_16S_Prey_343-2_S15_L001_R1_001.fastq,Locus_16S_Prey_343-2_S15_L001_R2_001.fastq
345.2,16S_Prey,Locus_16S_Prey_345-2_S16_L001_R1_001.fastq,Locus_16S_Prey_345-2_S16_L001_R2_001.fastq
58.3,16S_Prey,Locus_16S_Prey_58-3_S17_L001_R1_001.fastq,Locus_16S_Prey_58-3_S17_L001_R2_001.fastq
60.3,16S_Prey,Locus_16S_Prey_60-3_S18_L001_R1_001.fastq,Locus_16S_Prey_60-3_S18_L001_R2_001.fastq
61.3,16S_Prey,Locus_16S_Prey_61-3_S19_L001_R1_001.fastq,Locus_16S_Prey_61-3_S19_L001_R2_001.fastq
63.3,16S_Prey,Locus_16S_Prey_63-3_S20_L001_R1_001.fastq,Locus_16S_Prey_63-3_S20_L001_R2_001.fastq
70.3,16S_Prey,Locus_16S_Prey_70-3_S21_L001_R1_001.fastq,Locus_16S_Prey_70-3_S21_L001_R2_001.fastq
282.3,16S_Prey,Locus_16S_Prey_282-3_S22_L001_R1_001.fastq,Locus_16S_Prey_282-3_S22_L001_R2_001.fastq
283.3,16S_Prey,Locus_16S_Prey_283-3_S23_L001_R1_001.fastq,Locus_16S_Prey_283-3_S23_L001_R2_001.fastq
284.3,16S_Prey,Locus_16S_Prey_284-3_S24_L001_R1_001.fastq,Locus_16S_Prey_284-3_S24_L001_R2_001.fastq
285.3,16S_Prey,Locus_16S_Prey_285-3_S25_L001_R1_001.fastq,Locus_16S_Prey_285-3_S25_L001_R2_001.fastq
287.3,16S_Prey,Locus_16S_Prey_287-3_S26_L001_R1_001.fastq,Locus_16S_Prey_287-3_S26_L001_R2_001.fastq
318.3,16S_Prey,Locus_16S_Prey_318-3_S27_L001_R1_001.fastq,Locus_16S_Prey_318-3_S27_L001_R2_001.fastq
319.3,16S_Prey,Locus_16S_Prey_319-3_S28_L001_R1_001.fastq,Locus_16S_Prey_319-3_S28_L001_R2_001.fastq
320.3,16S_Prey,Locus_16S_Prey_320-3_S29_L001_R1_001.fastq,Locus_16S_Prey_320-3_S29_L001_R2_001.fastq
321.3,16S_Prey,Locus_16S_Prey_321-3_S30_L001_R1_001.fastq,Locus_16S_Prey_321-3_S30_L001_R2_001.fastq
343.3,16S_Prey,Locus_16S_Prey_343-3_S31_L001_R1_001.fastq,Locus_16S_Prey_343-3_S31_L001_R2_001.fastq
345.3,16S_Prey,Locus_16S_Prey_345-3_S32_L001_R1_001.fastq,Locus_16S_Prey_345-3_S32_L001_R2_001.fastq
T+.1,16S_Prey,Locus_16S_Prey_T-1_S33_L001_R1_001.fastq,Locus_16S_Prey_T-1_S33_L001_R2_001.fastq
T+.2,16S_Prey,Locus_16S_Prey_T-2_S34_L001_R1_001.fastq,Locus_16S_Prey_T-2_S34_L001_R2_001.fastq
